time,temp,moisture
2022-10-09 07:00:04.420233,20.827914265620002,983.5
2022-10-09 07:30:04.083595,20.93338295298,992.5
2022-10-09 08:00:04.640997,20.28734146656,976.0
2022-10-09 08:30:04.299400,20.069812298880002,978.0
2022-10-09 09:00:04.924314,20.34008343963,976.0
2022-10-09 09:30:04.633737,19.74678392628,970.0
2022-10-09 10:00:04.181638,19.6940495826,972.0
2022-10-09 10:30:04.856067,20.231311226400003,977.5
2022-10-09 11:00:04.410935,19.52923949982,961.5
2022-10-09 11:30:04.141774,19.42377081246,985.5
2022-10-09 12:00:04.712018,19.64131523892,968.0
2022-10-09 12:30:04.500416,19.21281817896,1001.5
2022-10-09 13:00:04.028645,19.21281817896,967.5
2022-10-09 13:30:04.689032,19.15678030941,970.0
2022-10-09 14:00:04.222934,19.21281817896,963.0
2022-10-09 14:30:04.876041,19.31828686632,967.0
2022-10-09 15:00:04.429322,19.21281817896,979.5
2022-10-09 15:30:04.102219,19.52923949982,974.0
2022-10-09 16:00:04.633198,20.069812298880002,973.0
2022-10-09 16:30:04.292998,20.55762786609,970.0
2022-10-09 17:00:04.826443,21.473940493260002,965.0
2022-10-09 17:30:04.472447,21.909029346180002,973.5
2022-10-09 18:00:03.979333,22.33752640614,957.0
2022-10-09 18:30:04.626445,23.63620117194,939.0
2022-10-09 19:00:04.139686,25.14581331246,940.0
2022-10-09 19:30:04.761335,26.22033660006,950.0
2022-10-09 20:00:04.264226,26.760909399120003,944.5
2022-10-09 20:30:05.032697,26.22033660006,947.0
2022-10-09 21:00:04.566197,24.28222739958,941.5
2022-10-09 21:30:04.356340,24.49977182604,942.5
2022-10-09 22:00:04.917259,23.41865674548,935.5
2022-10-09 22:30:04.614577,22.98356789256,954.5
2022-10-09 23:00:04.150959,22.77261525906,947.0
2022-10-09 23:30:04.833284,22.555070832600002,943.5
2022-10-10 00:00:04.369973,22.28479206246,950.5
2022-10-10 00:30:04.032974,22.33752640614,943.5
2022-10-10 01:00:04.562355,22.33752640614,947.0
2022-10-10 01:30:04.217949,22.33752640614,934.0
2022-10-10 02:00:04.760623,22.44301035228,955.0
2022-10-10 02:30:04.419007,22.33752640614,939.0
2022-10-10 03:00:03.976206,22.12657377264,940.5
2022-10-10 03:30:04.647738,22.12657377264,953.5
2022-10-10 04:00:04.218464,21.909029346180002,955.0
2022-10-10 04:30:04.921305,21.796968865860002,949.0
2022-10-10 05:00:04.459730,21.744226892790003,954.0
2022-10-10 05:30:04.089576,21.3684718059,945.5
2022-10-10 06:00:04.635431,21.3684718059,942.5
2022-10-10 06:30:04.089441,21.31573746222,959.5
2022-10-10 07:00:04.620285,20.93338295298,968.0
2022-10-10 07:30:04.246374,20.66640007932,969.5
2022-10-10 08:00:04.769911,20.61036983916,964.5
2022-10-10 08:30:04.452226,20.28734146656,948.5
2022-10-10 09:00:03.976812,20.122546642560003,974.5
2022-10-10 09:30:04.658150,20.55762786609,970.0
2022-10-10 10:00:04.214896,19.96432835274,958.5
2022-10-10 10:30:04.896459,19.858859665380002,953.5
2022-10-10 11:00:04.446603,20.28734146656,960.5
2022-10-10 11:30:04.117255,19.74678392628,948.5
2022-10-10 12:00:04.699297,19.96432835274,961.5
2022-10-10 12:30:04.354339,19.96432835274,966.5
2022-10-10 13:00:04.902084,19.74678392628,971.0
2022-10-10 13:30:04.585952,19.858859665380002,947.5
2022-10-10 14:00:04.145430,19.74678392628,950.0
2022-10-10 14:30:04.833687,19.52923949982,967.5
2022-10-10 15:00:04.365775,20.17528098624,963.5
2022-10-10 15:30:04.011934,20.392825412700002,951.0
2022-10-10 16:00:04.547968,20.61036983916,949.5
2022-10-10 16:30:04.217768,20.93338295298,943.0
2022-10-10 17:00:04.767394,21.3684718059,940.5
2022-10-10 17:30:04.444407,21.796968865860002,950.0
2022-10-10 18:00:03.992476,22.555070832600002,943.5
2022-10-10 18:30:04.683188,23.7416698593,951.0
2022-10-10 19:00:04.229121,25.84458914256,945.0
2022-10-10 19:30:04.908145,26.325820546200003,945.5
2022-10-10 20:00:04.452148,27.18940645908,943.0
2022-10-10 20:30:04.099933,26.43788102652,942.0
2022-10-10 21:00:04.644439,25.03373757336,940.5
2022-10-10 21:30:04.299466,25.19854765614,940.0
2022-10-10 22:00:04.823533,25.89732348624,950.0
2022-10-10 22:30:04.542377,24.38771134572,931.0
2022-10-10 23:00:04.096581,24.06468297312,938.5
2022-10-10 23:30:04.762757,23.847138546660002,938.0
2022-10-11 00:00:04.297958,23.7416698593,940.5
2022-10-11 00:30:04.000003,23.79440420298,936.0
2022-10-11 01:00:04.583870,23.63620117194,934.0
2022-10-11 01:30:04.287797,23.524125432840002,947.0
2022-10-11 02:00:04.835975,23.41865674548,950.0
2022-10-11 02:30:04.529930,23.41865674548,948.0
2022-10-11 03:00:04.873188,23.089036579920002,930.5
2022-10-11 03:30:04.579350,23.089036579920002,946.0
2022-10-11 04:00:04.138138,22.878083946420002,949.0
2022-10-11 04:30:04.910191,22.77261525906,942.0
2022-10-11 05:00:04.487644,22.77261525906,944.5
2022-10-11 05:30:04.134288,22.66053951996,947.5
2022-10-11 06:00:04.688653,22.33752640614,945.0
2022-10-11 06:30:04.432448,22.555070832600002,947.5
2022-10-11 07:00:04.087824,21.909029346180002,951.5
2022-10-11 07:30:04.776073,21.473940493260002,953.0
2022-10-11 08:00:04.313422,21.69148491972,960.5
2022-10-11 08:30:04.092903,21.263003118540002,952.0
2022-10-11 09:00:04.618604,20.93338295298,959.0
2022-10-11 09:30:04.331527,21.263003118540002,964.5
2022-10-11 10:00:04.884055,20.66640007932,939.5
2022-10-11 10:30:04.537951,20.392825412700002,948.5
2022-10-11 11:00:04.019353,21.04545869208,951.5
2022-10-11 11:30:04.712823,20.72243031948,952.0
2022-10-11 12:00:04.276511,20.50488589302,954.5
2022-10-11 12:30:03.988022,20.72243031948,950.0
2022-10-11 13:00:04.499911,20.50488589302,949.0
2022-10-11 13:30:04.109031,20.28734146656,965.5
2022-10-11 14:00:04.801713,20.775172292550003,954.5
2022-10-11 14:30:04.457274,20.34008343963,937.5
2022-10-11 15:00:03.993418,20.880648609300003,930.0
2022-10-11 15:30:04.700593,21.63545467956,950.0
2022-10-11 16:00:04.340139,21.52668246633,935.0
2022-10-11 16:30:04.066872,21.796968865860002,947.0
2022-10-11 17:00:04.599980,22.12657377264,942.0
2022-10-11 17:30:04.299838,22.44301035228,991.0
2022-10-11 18:00:04.917870,22.44301035228,938.0
2022-10-11 18:30:04.566722,22.555070832600002,936.0
2022-10-11 19:00:04.106410,22.39026837921,932.0
2022-10-11 19:30:04.924956,22.232057718780002,928.5
2022-10-11 20:00:04.464641,22.33752640614,925.5
2022-10-11 20:30:04.231252,22.232057718780002,938.0
2022-10-11 21:00:04.791026,22.33752640614,943.5
2022-10-11 21:30:04.475418,22.232057718780002,945.5
2022-10-11 22:00:04.041642,22.44301035228,949.5
2022-10-11 22:30:04.716415,22.499040592440004,936.0
2022-10-11 23:00:04.258099,22.499040592440004,951.5
2022-10-11 23:30:05.101287,22.499040592440004,936.0
